time_ms,diameter_mm
0.0,2.408
1.0,2.3649999999999998
2.0,2.279
3.0,2.2359999999999998
4.0,2.1929999999999996
5.0,2.1929999999999996
6.0,2.15
7.0,2.1069999999999998
8.0,2.064
9.0,2.021
10.0,1.9779999999999998
11.0,1.9349999999999998
12.0,1.8489999999999998
13.0,1.8059999999999998
14.0,1.7199999999999998
15.0,1.6769999999999998
16.0,1.634
17.0,1.591
18.0,1.505
19.0,1.4189999999999998
20.0,1.376
21.0,1.2469999999999999
22.0,1.1179999999999999
23.0,0.946
24.0,0.731
25.0,0.473
26.0,0.0
